name,rank,year,homeruns
Mickey Cochrane,10,1932,23
Hack Wilson,10,1932,23
Lou Gehrig,1,1931,46
Babe Ruth,1,1931,46
Earl Averill,3,1931,32
Chuck Klein,4,1931,31
Jimmie Foxx,5,1931,30
Mel Ott,6,1931,29
Goose Goslin,7,1931,24
Al Simmons,8,1931,22
Wally Berger,9,1931,19
Babe Herman,10,1931,18
Buzz Arlett,10,1931,18
Hack Wilson,1,1930,56
Babe Ruth,2,1930,49
Lou Gehrig,3,1930,41
Chuck Klein,4,1930,40
Wally Berger,5,1930,38
Jimmie Foxx,6,1930,37
Goose Goslin,6,1930,37
Gabby Hartnett,6,1930,37
Al Simmons,9,1930,36
Babe Herman,10,1930,35
Babe Ruth,1,1929,46
Chuck Klein,2,1929,43
Mel Ott,3,1929,42
Rogers Hornsby,4,1929,39
Hack Wilson,4,1929,39
Lou Gehrig,6,1929,35
Al Simmons,7,1929,34
Jimmie Foxx,8,1929,33
Lefty O'Doul,9,1929,32
Don Hurst,10,1929,31
Babe Ruth,1,1928,54
Jim Bottomley,2,1928,31
Hack Wilson,2,1928,31
Lou Gehrig,4,1928,27
Chick Hafey,4,1928,27
Del Bissonette,6,1928,25
Rogers Hornsby,7,1928,21
Don Hurst,8,1928,19
George Harper,8,1928,19
Mel Ott,10,1928,18
Babe Ruth,1,1927,60
Lou Gehrig,2,1927,47
Hack Wilson,3,1927,30
Cy Williams,3,1927,30
Rogers Hornsby,5,1927,26
Bill Terry,6,1927,20
Jim Bottomley,7,1927,19
Chick Hafey,8,1927,18
Tony Lazzeri,8,1927,18
Ken Williams,10,1927,17
Babe Ruth,1,1926,47
Hack Wilson,2,1926,21
Jim Bottomley,3,1926,19
Al Simmons,3,1926,19
Tony Lazzeri,5,1926,18
Cy Williams,5,1926,18
Ken Williams,7,1926,17
Goose Goslin,7,1926,17
Les Bell,7,1926,17
Billy Southworth,10,1926,16
Lou Gehrig,10,1926,16
Rogers Hornsby,1,1925,39
Bob Meusel,2,1925,33
Ken Williams,3,1925,25
Babe Ruth,3,1925,25
Al Simmons,5,1925,24
Gabby Hartnett,5,1925,24
Jack Fournier,7,1925,22
Jim Bottomley,8,1925,21
Irish Meusel,8,1925,21
High Pockets Kelly,10,1925,20
Lou Gehrig,10,1925,20
Babe Ruth,1,1924,46
Joe Hauser,2,1924,27
Jack Fournier,2,1924,27
Rogers Hornsby,4,1924,25
Cy Williams,5,1924,24
High Pockets Kelly,6,1924,21
Baby Doll Jacobson,7,1924,19
Ken Williams,8,1924,18
Gabby Hartnett,9,1924,16
George Harper,9,1924,16
Babe Ruth,1,1923,41
Cy Williams,1,1923,41
Ken Williams,3,1923,29
Jack Fournier,4,1923,22
Hack Miller,5,1923,20
Irish Meusel,6,1923,19
Harry Heilmann,7,1923,18
Tris Speaker,8,1923,17
Joe Hauser,8,1923,17
Rogers Hornsby,8,1923,17
Rogers Hornsby,1,1922,42
Ken Williams,2,1922,39
Tillie Walker,3,1922,37
Babe Ruth,4,1922,35
Cy Williams,5,1922,26
Bing Miller,6,1922,21
Harry Heilmann,6,1922,21
Cliff Lee,8,1922,17
High Pockets Kelly,8,1922,17
Zack Wheat,10,1922,16
Irish Meusel,10,1922,16
Bob Meusel,10,1922,16
Babe Ruth,1,1921,59
Ken Williams,2,1921,24
Bob Meusel,2,1921,24
High Pockets Kelly,4,1921,23
Tillie Walker,4,1921,23
Rogers Hornsby,6,1921,21
Harry Heilmann,7,1921,19
Cy Williams,8,1921,18
Austin McHenry,9,1921,17
Elmer Smith,10,1921,16
Bobby Veach,10,1921,16
Jimmy Dykes,10,1921,16
Jack Fournier,10,1921,16
Babe Ruth,1,1920,54
George Sisler,2,1920,19
Tillie Walker,3,1920,17
Cy Williams,4,1920,15
Happy Felsch,5,1920,14
Irish Meusel,5,1920,14
Elmer Smith,7,1920,12
Shoeless Joe Jackson,7,1920,12
Bobby Veach,9,1920,11
Bob Meusel,9,1920,11
Aaron Ward,9,1920,11
Wally Pipp,9,1920,11
High Pockets Kelly,9,1920,11
Babe Ruth,1,1919,29
Gavvy Cravath,2,1919,12
George Sisler,3,1919,10
Home Run Baker,3,1919,10
Benny Kauff,3,1919,10
Tillie Walker,3,1919,10
Cy Williams,7,1919,9
Elmer Smith,7,1919,9
George Burns,9,1919,8
Harry Heilmann,9,1919,8
Rogers Hornsby,9,1919,8
Babe Ruth,1,1918,11
Tillie Walker,1,1918,11
Gavvy Cravath,3,1918,8
George Burns,4,1918,6
Cy Williams,4,1918,6
Walton Cruise,4,1918,6
Home Run Baker,4,1918,6
Smoky Joe Wood,8,1918,5
Rogers Hornsby,8,1918,5
Fred Luderus,8,1918,5
Harry Heilmann,8,1918,5
George Cutshaw,8,1918,5
Edd Roush,8,1918,5
Gavvy Cravath,1,1917,12
Dave Robertson,1,1917,12
Wally Pipp,3,1917,9
Rogers Hornsby,4,1917,8
Bobby Veach,4,1917,8
Ping Bodie,6,1917,7
Casey Stengel,7,1917,6
Jim Hickman,7,1917,6
Happy Felsch,7,1917,6
Home Run Baker,7,1917,6
Ty Cobb,7,1917,6
Larry Doyle,7,1917,6
Wally Pipp,1,1916,12
Cy Williams,1,1916,12
Dave Robertson,1,1916,12
Gavvy Cravath,4,1916,11
Home Run Baker,5,1916,10
Zack Wheat,6,1916,9
Benny Kauff,6,1916,9
Dode Paskert,8,1916,8
Casey Stengel,8,1916,8
Max Carey,10,1916,7
Fred Merkle,10,1916,7
Happy Felsch,10,1916,7
Vic Saier,10,1916,7
Wally Schang,10,1916,7
Gavvy Cravath,1,1915,24
Hal Chase,2,1915,17
Cy Williams,3,1915,13
Dutch Zwilling,3,1915,13
Benny Kauff,5,1915,12
Frank Schulte,5,1915,12
Vic Saier,7,1915,11
Beals Becker,7,1915,11
Ed Konetchy,9,1915,10
Jimmy Walsh,10,1915,9
Gavvy Cravath,1,1914,19
Vic Saier,2,1914,18
Dutch Zwilling,3,1914,16
Duke Kenworthy,4,1914,15
Sherry Magee,4,1914,15
Fred Luderus,6,1914,12
Steve Evans,6,1914,12
Charlie Hanford,6,1914,12
Fred Beck,9,1914,11
Ed Lennox,9,1914,11
Gavvy Cravath,1,1913,19
Fred Luderus,2,1913,18
Vic Saier,3,1913,14
Home Run Baker,4,1913,12
Sherry Magee,5,1913,11
Chief Wilson,6,1913,10
Sam Crawford,7,1913,9
Beals Becker,7,1913,9
Heinie Zimmerman,7,1913,9
Frank Schulte,7,1913,9
Heinie Zimmerman,1,1912,14
Frank Schulte,2,1912,12
Chief Wilson,3,1912,11
Fred Merkle,3,1912,11
Gavvy Cravath,3,1912,11
Tris Speaker,6,1912,10
Home Run Baker,6,1912,10
Larry Doyle,6,1912,10
Fred Luderus,6,1912,10
Zack Wheat,10,1912,8
Ed Konetchy,10,1912,8
Ben Houser,10,1912,8
Frank Schulte,1,1911,21
Fred Luderus,2,1911,16
Sherry Magee,3,1911,15
Larry Doyle,4,1911,13
Fred Merkle,5,1911,12
Chief Wilson,5,1911,12
Home Run Baker,7,1911,11
Dick Hoblitzell,7,1911,11
Hans Lobert,9,1911,9
Honus Wagner,9,1911,9
Heinie Zimmerman,9,1911,9
Jake Stahl,1,1910,10
Fred Beck,1,1910,10
Frank Schulte,1,1910,10
Ty Cobb,4,1910,8
Larry Doyle,4,1910,8
Jake Daubert,4,1910,8
Duffy Lewis,4,1910,8
Tris Speaker,8,1910,7
Sherry Magee,9,1910,6
John Flynn,9,1910,6
Ty Cobb,1,1909,9
Tris Speaker,2,1909,7
Red Murray,2,1909,7
Beals Becker,4,1909,6
Tommy Leach,4,1909,6
Larry Doyle,4,1909,6
Jake Stahl,4,1909,6
Sam Crawford,4,1909,6
Honus Wagner,9,1909,5
Danny Murphy,9,1909,5
Tim Jordan,1,1908,12
Honus Wagner,2,1908,10
Red Murray,3,1908,7
Sam Crawford,3,1908,7
Mike Donlin,5,1908,6
Bill Hinchman,5,1908,6
Joe Tinker,5,1908,6
Cy Seymour,8,1908,5
Harry Davis,8,1908,5
Harry Niles,8,1908,5
Ed Konetchy,8,1908,5
Tommy Leach,8,1908,5
George Stone,8,1908,5
Dave Brain,1,1907,10
Harry Lumley,2,1907,9
Harry Davis,3,1907,8
Red Murray,4,1907,7
Honus Wagner,5,1907,6
Socks Seybold,6,1907,5
George Browne,6,1907,5
Danny Hoffman,6,1907,5
Ty Cobb,6,1907,5
Sam Crawford,10,1907,4
Ginger Beaumont,10,1907,4
Sammy Strang,10,1907,4
Tommy Leach,10,1907,4
Sherry Magee,10,1907,4
Roger Bresnahan,10,1907,4
Tim Jordan,10,1907,4
George Stone,10,1907,4
Hobe Ferris,10,1907,4
Harry Davis,1,1906,12
Tim Jordan,1,1906,12
Harry Lumley,3,1906,9
Charlie Hickman,3,1906,9
Cy Seymour,5,1906,8
Frank Schulte,6,1906,7
George Stone,7,1906,6
Johnny Bates,7,1906,6
Sherry Magee,7,1906,6
Dave Brain,10,1906,5
Socks Seybold,10,1906,5
Fred Odwell,1,1905,9
Cy Seymour,2,1905,8
Harry Davis,2,1905,8
Mike Donlin,4,1905,7
George Stone,4,1905,7
Harry Lumley,4,1905,7
Bill Dahlen,4,1905,7
Jimmy Williams,8,1905,6
Honus Wagner,8,1905,6
Danny Murphy,8,1905,6
Sam Crawford,8,1905,6
Socks Seybold,8,1905,6
Hobe Ferris,8,1905,6
Harry Davis,1,1904,10
Harry Lumley,2,1904,9
Dave Brain,3,1904,7
Buck Freeman,3,1904,7
Danny Murphy,3,1904,7
Patsy Dougherty,6,1904,6
Freddy Parent,6,1904,6
Frank Chance,6,1904,6
Charlie Hickman,6,1904,6
Bill Bradley,6,1904,6
Dan McGann,6,1904,6
Cozy Dolan,6,1904,6
Elmer Flick,6,1904,6
John Ganzel,6,1904,6
Red Dooin,6,1904,6
Buck Freeman,1,1903,13
Charlie Hickman,2,1903,12
Jimmy Sheckard,3,1903,9
Hobe Ferris,3,1903,9
Socks Seybold,5,1903,8
Ginger Beaumont,6,1903,7
Mike Donlin,6,1903,7
Sam Mertes,6,1903,7
Tommy Leach,6,1903,7
Nap Lajoie,6,1903,7
Cy Seymour,6,1903,7
Jimmy Ryan,6,1903,7
Pat Moran,6,1903,7
Socks Seybold,1,1902,16
Bill Bradley,2,1902,11
Charlie Hickman,2,1902,11
Buck Freeman,2,1902,11
Ed Delahanty,5,1902,10
Bill Keister,6,1902,9
Hobe Ferris,7,1902,8
Jimmy Williams,7,1902,8
Nap Lajoie,9,1902,7
Jimmy Collins,10,1902,6
Charlie Hemphill,10,1902,6
Harry Davis,10,1902,6
Tommy Leach,10,1902,6
Jimmy Ryan,10,1902,6
Candy LaChance,10,1902,6
Boileryard Clarke,10,1902,6
Bill Coughlin,10,1902,6
Sam Crawford,1,1901,16
Nap Lajoie,2,1901,14
Buck Freeman,3,1901,12
Jimmy Sheckard,4,1901,11
Jesse Burkett,5,1901,10
Mike Grady,6,1901,9
Ed Delahanty,7,1901,8
Harry Davis,7,1901,8
Ginger Beaumont,7,1901,8
John Anderson,7,1901,8
Elmer Flick,7,1901,8
Socks Seybold,7,1901,8
Herman Long,1,1900,12
Elmer Flick,2,1900,11
Mike Donlin,3,1900,10
Charlie Hickman,4,1900,9
Billy Sullivan,5,1900,8
Jesse Burkett,6,1900,7
Sam Crawford,6,1900,7
Sam Mertes,6,1900,7
Nap Lajoie,6,1900,7
Buck Freeman,10,1900,6
Joe Kelley,10,1900,6
Jimmy Collins,10,1900,6
Buck Freeman,1,1899,25
Bobby Wallace,2,1899,12
Ed Delahanty,3,1899,9
Sam Mertes,3,1899,9
Jimmy Williams,3,1899,9
Chick Stahl,6,1899,7
Honus Wagner,6,1899,7
Dan McGann,6,1899,7
Jesse Burkett,6,1899,7
Mike Donlin,10,1899,6
Danny Green,10,1899,6
Tom O'Brien,10,1899,6
Nap Lajoie,10,1899,6
Herman Long,10,1899,6
Jack O'Brien,10,1899,6
Joe Kelley,10,1899,6
Jimmy Collins,1,1898,15
Bill Joyce,2,1898,10
Honus Wagner,2,1898,10
Ed McKean,4,1898,9
John Anderson,4,1898,9
Hugh Duffy,6,1898,8
Elmer Flick,6,1898,8
Dummy Hoy,8,1898,6
Nap Lajoie,8,1898,6
Herman Long,8,1898,6
Hugh Duffy,1,1897,11
George Davis,2,1897,10
Nap Lajoie,3,1897,9
Jake Beckley,4,1897,8
Mike Grady,4,1897,8
General Stafford,6,1897,7
Klondike Douglass,7,1897,6
Bill Dahlen,7,1897,6
Jimmy Collins,7,1897,6
Mike Smith,7,1897,6
Fred Clarke,7,1897,6
Jack Clements,7,1897,6
Bill Joyce,1,1896,13
Ed Delahanty,1,1896,13
Sam Thompson,3,1896,12
Roger Connor,4,1896,11
Bill Dahlen,5,1896,9
Fred Clarke,5,1896,9
Jake Beckley,5,1896,9
Gene DeMontreville,8,1896,8
Joe Kelley,8,1896,8
Tom McCreery,10,1896,7
Candy LaChance,10,1896,7
Ed McKean,10,1896,7
Tom Parrott,10,1896,7
Mike Tiernan,10,1896,7
Sam Thompson,1,1895,18
Bill Joyce,2,1895,17
Jack Clements,3,1895,13
Ed Delahanty,4,1895,11
Deacon McGuire,5,1895,10
Joe Kelley,5,1895,10
Bill Lange,5,1895,10
Billy Nash,5,1895,10
Dusty Miller,5,1895,10
John Anderson,5,1895,10
Hugh Duffy,1,1894,18
Bobby Lowe,2,1894,17
Bill Joyce,2,1894,17
Bill Dahlen,4,1894,15
Bug Holliday,5,1894,13
Jim Canavan,5,1894,13
Sam Thompson,5,1894,13
Jake Stenzel,5,1894,13
Tommy McCarthy,5,1894,13
Jimmy Bannon,5,1894,13
Ed Delahanty,1,1893,19
Jack Clements,2,1893,17
Bobby Lowe,3,1893,14
Mike Tiernan,3,1893,14
Roger Connor,5,1893,11
Sam Thompson,5,1893,11
George Davis,5,1893,11
Billy Nash,8,1893,10
Eddie Burke,9,1893,9
Joe Kelley,9,1893,9
Bug Holliday,1,1892,13
Roger Connor,2,1892,12
Jimmy Ryan,3,1892,10
Jake Beckley,3,1892,10
Sam Thompson,5,1892,9
Lou Bierbauer,6,1892,8
Henry Larkin,6,1892,8
Perry Werden,6,1892,8
Denny Lyons,6,1892,8
Jack Clements,6,1892,8
Duke Farrell,6,1892,8
Germany Smith,6,1892,8
Buck Ewing,6,1892,8
Mike Tiernan,1,1891,16
Harry Stovey,1,1891,16
Duke Farrell,3,1891,12
Jocko Milligan,4,1891,11
Denny Lyons,4,1891,11
Walt Wilmot,4,1891,11
Jim Canavan,7,1891,10
Charlie Duffee,7,1891,10
Henry Larkin,7,1891,10
Tip O'Neill,7,1891,10
Hardy Richardson,1,1890,16
Roger Connor,2,1890,14
Oyster Burns,3,1890,13
Mike Tiernan,3,1890,13
Walt Wilmot,3,1890,13
Harry Stovey,6,1890,12
George Gore,7,1890,10
Billy Shindle,7,1890,10
George Wood,9,1890,9
Jocko Fields,9,1890,9
Jim O'Rourke,9,1890,9
Count Campau,9,1890,9
Jake Beckley,9,1890,9
Sam Thompson,1,1889,20
Harry Stovey,2,1889,19
Bug Holliday,2,1889,19
Jerry Denny,4,1889,18
Jimmy Ryan,5,1889,17
Charlie Duffee,6,1889,16
Roger Connor,7,1889,13
Hugh Duffy,8,1889,12
Jocko Milligan,8,1889,12
Duke Farrell,10,1889,11
Jimmy Ryan,1,1888,16
Roger Connor,2,1888,14
John Reilly,3,1888,13
Dick Johnston,4,1888,12
Jerry Denny,4,1888,12
Cap Anson,4,1888,12
Mike Tiernan,7,1888,9
King Kelly,7,1888,9
Dan Brouthers,7,1888,9
Tom Brown,7,1888,9
Billy O'Brien,7,1888,9
Harry Stovey,7,1888,9
Billy O'Brien,1,1887,19
Roger Connor,2,1887,17
Fred Pfeffer,3,1887,16
Tip O'Neill,4,1887,14
George Wood,4,1887,14
Dan Brouthers,6,1887,12
John Morrill,6,1887,12
Jerry Denny,8,1887,11
Jimmy Ryan,8,1887,11
Mike Tiernan,10,1887,10
John Reilly,10,1887,10
Paul Hines,10,1887,10
Sam Thompson,10,1887,10
Dan Brouthers,1,1886,11
Hardy Richardson,1,1886,11
Cap Anson,3,1886,10
Jerry Denny,4,1886,9
Paul Hines,4,1886,9
Bid McPhee,6,1886,8
Sam Thompson,6,1886,8
Alex McKinnon,6,1886,8
Harry Stovey,9,1886,7
Dave Orr,9,1886,7
Fred Dunlap,9,1886,7
Fred Pfeffer,9,1886,7
Roger Connor,9,1886,7
John Morrill,9,1886,7
Harry Stovey,1,1885,13
Abner Dalrymple,2,1885,11
Frank Fennelly,3,1885,10
Pete Browning,4,1885,9
King Kelly,4,1885,9
Henry Larkin,6,1885,8
Dan Brouthers,7,1885,7
Cap Anson,7,1885,7
Tom Burns,7,1885,7
Sam Thompson,7,1885,7
Ned Williamson,1,1884,27
Fred Pfeffer,2,1884,25
Abner Dalrymple,3,1884,22
Cap Anson,4,1884,21
Dan Brouthers,5,1884,14
King Kelly,6,1884,13
Fred Dunlap,6,1884,13
Ed Crane,8,1884,12
John Reilly,9,1884,11
Harry Stovey,10,1884,10
Harry Stovey,1,1883,14
Charley Jones,2,1883,10
Buck Ewing,2,1883,10
John Reilly,4,1883,9
Jerry Denny,5,1883,8
Joe Hornung,5,1883,8
John Ward,7,1883,7
John Morrill,8,1883,6
Charlie Bennett,9,1883,5
George Wood,9,1883,5
Jim Whitney,9,1883,5
Chick Fulmer,9,1883,5
Jack Burdock,9,1883,5
Tom Brown,9,1883,5
George Wood,1,1882,7
Oscar Walker,1,1882,7
Dan Brouthers,3,1882,6
Mike Muldoon,3,1882,6
Charlie Bennett,5,1882,5
Ned Hanlon,5,1882,5
Pete Browning,5,1882,5
Harry Stovey,5,1882,5
Jim Whitney,5,1882,5
Sam Wise,10,1882,4
Jackie Hayes,10,1882,4
Roger Connor,10,1882,4
Jack Glasscock,10,1882,4
Paul Hines,10,1882,4
Silver Flint,10,1882,4
Bill Phillips,10,1882,4
Ed Swartwood,10,1882,4
Dan Brouthers,1,1881,8
Charlie Bennett,2,1881,7
Jack Farrell,3,1881,5
Tom Burns,4,1881,4
Fred Dunlap,5,1881,3
Lew Brown,5,1881,3
George Wood,7,1881,2
Tom York,7,1881,2
George Bradley,7,1881,2
Hick Carpenter,7,1881,2
Harry Stovey,7,1881,2
Roger Connor,7,1881,2
Hardy Richardson,7,1881,2
Paul Hines,7,1881,2
King Kelly,7,1881,2
Ned Hanlon,7,1881,2
Joe Hornung,7,1881,2
Jim O'Rourke,1,1880,6
Harry Stovey,1,1880,6
Charley Jones,3,1880,5
Fred Dunlap,4,1880,4
John O'Rourke,5,1880,3
Roger Connor,5,1880,3
Jack Farrell,5,1880,3
Paul Hines,5,1880,3
Jack Manning,9,1880,2
Mike Mansell,9,1880,2
George Gore,9,1880,2
Jack Burdock,9,1880,2
Curry Foley,9,1880,2
Patrick Gillespie,9,1880,2
John Morrill,9,1880,2
Charley Jones,1,1879,9
John O'Rourke,2,1879,6
Dan Brouthers,3,1879,4
Charlie Eden,4,1879,3
Buttercup Dickerson,5,1879,2
Lew Brown,5,1879,2
Pop Snyder,5,1879,2
Joe Start,5,1879,2
King Kelly,5,1879,2
John Ward,5,1879,2
Sadie Houck,5,1879,2
Paul Hines,5,1879,2
Paul Hines,1,1878,4
Charley Jones,2,1878,3
Cal McVey,3,1878,2
Russ McKelvy,3,1878,2
Lew Brown,5,1878,1
Ezra Sutton,5,1878,1
Jack Remsen,5,1878,1
Tom York,5,1878,1
Jake Goodman,5,1878,1
Joe Start,5,1878,1
Ned Williamson,5,1878,1
Dick Higham,5,1878,1
Frank Hankinson,5,1878,1
Charlie Bennett,5,1878,1
Jim O'Rourke,5,1878,1
John Ward,5,1878,1
Lip Pike,1,1877,4
Orator Shafer,2,1877,3
Deacon White,3,1877,2
Charley Jones,3,1877,2
Pop Snyder,3,1877,2
Bill Crowley,6,1877,1
Joe Battin,6,1877,1
Jim Devlin,6,1877,1
Joe Gerhardt,6,1877,1
Bill Hague,6,1877,1
Terry Larkin,6,1877,1
Lew Brown,6,1877,1
Joe Start,6,1877,1
Tim Murnane,6,1877,1
Tom York,6,1877,1
Tom Carey,6,1877,1
George Hall,1,1876,5
Charley Jones,2,1876,4
Jim O'Rourke,3,1876,2
Paul Hines,3,1876,2
Lew Brown,3,1876,2
Jack Manning,3,1876,2
Joe Gerhardt,3,1876,2
Jimmy Hallinan,3,1876,2
Tim Murnane,3,1876,2
Cap Anson,3,1876,2
Jim O'Rourke,1,1875,6
Joe Start,2,1875,4
George Hall,2,1875,4
Jimmy Hallinan,4,1875,3
Cal McVey,4,1875,3
John McMullin,6,1875,2
George Wright,6,1875,2
Bill Craver,6,1875,2
Henry Luff,6,1875,2
Jack Manning,10,1875,1
Art Allison,10,1875,1
Levi Meyerle,10,1875,1
Tim Murnane,10,1875,1
Everett Mills,10,1875,1
Deacon White,10,1875,1
Pop Snyder,10,1875,1
John Cassidy,10,1875,1
Ezra Sutton,10,1875,1
Ross Barnes,10,1875,1
Andy Leonard,10,1875,1
Bill Boyd,10,1875,1
Jim O'Rourke,1,1874,5
Deacon White,2,1874,3
John Clapp,2,1874,3
Cal McVey,2,1874,3
George Wright,5,1874,2
Harry Wright,5,1874,2
Ned Cuthbert,5,1874,2
Jack Remsen,5,1874,2
Joe Start,5,1874,2
John McMullin,5,1874,2
Lip Pike,1,1873,4
Levi Meyerle,2,1873,3
George Wright,2,1873,3
Jack Burdock,4,1873,2
Cal McVey,4,1873,2
Harry Schafer,4,1873,2
Tom York,4,1873,2
Ross Barnes,4,1873,2
Harry Wright,4,1873,2
Ned Cuthbert,4,1873,2
John Hatfield,4,1873,2
Lip Pike,1,1872,7
Count Gedney,2,1872,3
Jimmy Wood,3,1872,2
George Wright,3,1872,2
Fred Treacey,3,1872,2
Tom Carey,3,1872,2
Andy Leonard,3,1872,2
Dick Higham,3,1872,2
Cy Bentley,9,1872,1
Levi Meyerle,9,1872,1
Bill Boyd,9,1872,1
John Radcliff,9,1872,1
John Clapp,9,1872,1
Chick Fulmer,9,1872,1
Ross Barnes,9,1872,1
Ned Cuthbert,9,1872,1
John Hatfield,9,1872,1
Cherokee Fisher,9,1872,1
George Hall,9,1872,1
Dickey Pearce,9,1872,1
Fraley Rogers,9,1872,1
Jack Remsen,9,1872,1
Harry Schafer,9,1872,1
Lip Pike,1,1871,4
Levi Meyerle,1,1871,4
Fred Treacey,1,1871,4
Ezra Sutton,4,1871,3
Ned Cuthbert,4,1871,3
John Bass,4,1871,3
Charlie Hodes,7,1871,2
Gat Stires,7,1871,2
Charlie Gould,7,1871,2
Marshall King,7,1871,2
Tom York,7,1871,2
George Hall,7,1871,2
Doug Allison,7,1871,2
